time,energy,datetime,date,year,month,day,hour,minute,runningdate
1641124800,0.09,2022-01-02T12:00:00Z,2022-01-02,2022,1,2,12,0,102
1641126600,0.14,2022-01-02T12:30:00Z,2022-01-02,2022,1,2,12,30,102
1641128400,0.09,2022-01-02T13:00:00Z,2022-01-02,2022,1,2,13,0,102
1641130200,0.13,2022-01-02T13:30:00Z,2022-01-02,2022,1,2,13,30,102
1641132000,0.1,2022-01-02T14:00:00Z,2022-01-02,2022,1,2,14,0,102
1641133800,0.13,2022-01-02T14:30:00Z,2022-01-02,2022,1,2,14,30,102
1641135600,0.11,2022-01-02T15:00:00Z,2022-01-02,2022,1,2,15,0,102
1641137400,0.12,2022-01-02T15:30:00Z,2022-01-02,2022,1,2,15,30,102
1641139200,0.1,2022-01-02T16:00:00Z,2022-01-02,2022,1,2,16,0,102
1641141000,0.12,2022-01-02T16:30:00Z,2022-01-02,2022,1,2,16,30,102
1641142800,0.12,2022-01-02T17:00:00Z,2022-01-02,2022,1,2,17,0,102
1641144600,0.13,2022-01-02T17:30:00Z,2022-01-02,2022,1,2,17,30,102
1641146400,0.09,2022-01-02T18:00:00Z,2022-01-02,2022,1,2,18,0,102
1641148200,0.13,2022-01-02T18:30:00Z,2022-01-02,2022,1,2,18,30,102
1641150000,0.1,2022-01-02T19:00:00Z,2022-01-02,2022,1,2,19,0,102
1641151800,0.19,2022-01-02T19:30:00Z,2022-01-02,2022,1,2,19,30,102
1641153600,0.52,2022-01-02T20:00:00Z,2022-01-02,2022,1,2,20,0,102
1641155400,0.82,2022-01-02T20:30:00Z,2022-01-02,2022,1,2,20,30,102
1641157200,0.51,2022-01-02T21:00:00Z,2022-01-02,2022,1,2,21,0,102
1641159000,0.57,2022-01-02T21:30:00Z,2022-01-02,2022,1,2,21,30,102
1641160800,2.05,2022-01-02T22:00:00Z,2022-01-02,2022,1,2,22,0,102
1641162600,2.4,2022-01-02T22:30:00Z,2022-01-02,2022,1,2,22,30,102
1641164400,0.43,2022-01-02T23:00:00Z,2022-01-02,2022,1,2,23,0,102
1641166200,0.16,2022-01-02T23:30:00Z,2022-01-02,2022,1,2,23,30,102
1641168000,0.16,2022-01-03T00:00:00Z,2022-01-03,2022,1,3,0,0,103
1641169800,0.18,2022-01-03T00:30:00Z,2022-01-03,2022,1,3,0,30,103
1641171600,0.27,2022-01-03T01:00:00Z,2022-01-03,2022,1,3,1,0,103
1641173400,0.2,2022-01-03T01:30:00Z,2022-01-03,2022,1,3,1,30,103
1641175200,0.15,2022-01-03T02:00:00Z,2022-01-03,2022,1,3,2,0,103
1641177000,0.14,2022-01-03T02:30:00Z,2022-01-03,2022,1,3,2,30,103
1641178800,0.17,2022-01-03T03:00:00Z,2022-01-03,2022,1,3,3,0,103
1641180600,0.18,2022-01-03T03:30:00Z,2022-01-03,2022,1,3,3,30,103
1641182400,0.13,2022-01-03T04:00:00Z,2022-01-03,2022,1,3,4,0,103
1641184200,0.17,2022-01-03T04:30:00Z,2022-01-03,2022,1,3,4,30,103
1641186000,0.16,2022-01-03T05:00:00Z,2022-01-03,2022,1,3,5,0,103
1641187800,0.16,2022-01-03T05:30:00Z,2022-01-03,2022,1,3,5,30,103
1641189600,0.17,2022-01-03T06:00:00Z,2022-01-03,2022,1,3,6,0,103
1641191400,0.23,2022-01-03T06:30:00Z,2022-01-03,2022,1,3,6,30,103
1641193200,0.2,2022-01-03T07:00:00Z,2022-01-03,2022,1,3,7,0,103
1641195000,1.96,2022-01-03T07:30:00Z,2022-01-03,2022,1,3,7,30,103
1641196800,2.6,2022-01-03T08:00:00Z,2022-01-03,2022,1,3,8,0,103
1641198600,0.45,2022-01-03T08:30:00Z,2022-01-03,2022,1,3,8,30,103
1641200400,0.24,2022-01-03T09:00:00Z,2022-01-03,2022,1,3,9,0,103
1641202200,0.22,2022-01-03T09:30:00Z,2022-01-03,2022,1,3,9,30,103
1641204000,0.24,2022-01-03T10:00:00Z,2022-01-03,2022,1,3,10,0,103
1641205800,0.21,2022-01-03T10:30:00Z,2022-01-03,2022,1,3,10,30,103
1641207600,0.22,2022-01-03T11:00:00Z,2022-01-03,2022,1,3,11,0,103
1641209400,0.2,2022-01-03T11:30:00Z,2022-01-03,2022,1,3,11,30,103
1641211200,0.39,2022-01-03T12:00:00Z,2022-01-03,2022,1,3,12,0,103
1641213000,0.18,2022-01-03T12:30:00Z,2022-01-03,2022,1,3,12,30,103
1641214800,0.21,2022-01-03T13:00:00Z,2022-01-03,2022,1,3,13,0,103
1641216600,0.22,2022-01-03T13:30:00Z,2022-01-03,2022,1,3,13,30,103
1641218400,0.16,2022-01-03T14:00:00Z,2022-01-03,2022,1,3,14,0,103
1641220200,0.22,2022-01-03T14:30:00Z,2022-01-03,2022,1,3,14,30,103
1641222000,1.15,2022-01-03T15:00:00Z,2022-01-03,2022,1,3,15,0,103
1641223800,0.49,2022-01-03T15:30:00Z,2022-01-03,2022,1,3,15,30,103
1641225600,0.27,2022-01-03T16:00:00Z,2022-01-03,2022,1,3,16,0,103
1641227400,0.51,2022-01-03T16:30:00Z,2022-01-03,2022,1,3,16,30,103
1641229200,0.95,2022-01-03T17:00:00Z,2022-01-03,2022,1,3,17,0,103
1641231000,0.87,2022-01-03T17:30:00Z,2022-01-03,2022,1,3,17,30,103
1641232800,0.66,2022-01-03T18:00:00Z,2022-01-03,2022,1,3,18,0,103
1641234600,0.8,2022-01-03T18:30:00Z,2022-01-03,2022,1,3,18,30,103
1641236400,0.57,2022-01-03T19:00:00Z,2022-01-03,2022,1,3,19,0,103
1641238200,0.31,2022-01-03T19:30:00Z,2022-01-03,2022,1,3,19,30,103
1641240000,0.46,2022-01-03T20:00:00Z,2022-01-03,2022,1,3,20,0,103
1641241800,0.38,2022-01-03T20:30:00Z,2022-01-03,2022,1,3,20,30,103
1641243600,0.51,2022-01-03T21:00:00Z,2022-01-03,2022,1,3,21,0,103
1641245400,0.31,2022-01-03T21:30:00Z,2022-01-03,2022,1,3,21,30,103
