time,energy,datetime,date,year,month,day,hour,minute,runningdate
1577836800,0.13,2020-01-01T00:00:00Z,2020-01-01,2020,1,1,0,0,101
1577838600,0.08,2020-01-01T00:30:00Z,2020-01-01,2020,1,1,0,30,101
1577840400,0.15,2020-01-01T01:00:00Z,2020-01-01,2020,1,1,1,0,101
1577842200,0.14,2020-01-01T01:30:00Z,2020-01-01,2020,1,1,1,30,101
1577844000,0.18,2020-01-01T02:00:00Z,2020-01-01,2020,1,1,2,0,101
1577845800,0.19,2020-01-01T02:30:00Z,2020-01-01,2020,1,1,2,30,101
1577847600,0.19,2020-01-01T03:00:00Z,2020-01-01,2020,1,1,3,0,101
1577849400,0.18,2020-01-01T03:30:00Z,2020-01-01,2020,1,1,3,30,101
1577851200,0.2,2020-01-01T04:00:00Z,2020-01-01,2020,1,1,4,0,101
1577853000,0.15,2020-01-01T04:30:00Z,2020-01-01,2020,1,1,4,30,101
1577854800,0.24,2020-01-01T05:00:00Z,2020-01-01,2020,1,1,5,0,101
1577856600,0.16,2020-01-01T05:30:00Z,2020-01-01,2020,1,1,5,30,101
1577858400,0.24,2020-01-01T06:00:00Z,2020-01-01,2020,1,1,6,0,101
1577860200,0.14,2020-01-01T06:30:00Z,2020-01-01,2020,1,1,6,30,101
1577862000,0.27,2020-01-01T07:00:00Z,2020-01-01,2020,1,1,7,0,101
1577863800,0.14,2020-01-01T07:30:00Z,2020-01-01,2020,1,1,7,30,101
1577865600,0.22,2020-01-01T08:00:00Z,2020-01-01,2020,1,1,8,0,101
1577867400,0.22,2020-01-01T08:30:00Z,2020-01-01,2020,1,1,8,30,101
1577869200,0.17,2020-01-01T09:00:00Z,2020-01-01,2020,1,1,9,0,101
1577871000,0.15,2020-01-01T09:30:00Z,2020-01-01,2020,1,1,9,30,101
1577872800,0.14,2020-01-01T10:00:00Z,2020-01-01,2020,1,1,10,0,101
1577874600,0.09,2020-01-01T10:30:00Z,2020-01-01,2020,1,1,10,30,101
1577876400,0.12,2020-01-01T11:00:00Z,2020-01-01,2020,1,1,11,0,101
1577878200,0.09,2020-01-01T11:30:00Z,2020-01-01,2020,1,1,11,30,101
1577880000,0.13,2020-01-01T12:00:00Z,2020-01-01,2020,1,1,12,0,101
1577881800,0.08,2020-01-01T12:30:00Z,2020-01-01,2020,1,1,12,30,101
1577883600,0.1,2020-01-01T13:00:00Z,2020-01-01,2020,1,1,13,0,101
1577885400,0.11,2020-01-01T13:30:00Z,2020-01-01,2020,1,1,13,30,101
1577887200,0.1,2020-01-01T14:00:00Z,2020-01-01,2020,1,1,14,0,101
1577889000,0.12,2020-01-01T14:30:00Z,2020-01-01,2020,1,1,14,30,101
1577890800,0.08,2020-01-01T15:00:00Z,2020-01-01,2020,1,1,15,0,101
1577892600,0.11,2020-01-01T15:30:00Z,2020-01-01,2020,1,1,15,30,101
1577894400,0.11,2020-01-01T16:00:00Z,2020-01-01,2020,1,1,16,0,101
1577896200,0.08,2020-01-01T16:30:00Z,2020-01-01,2020,1,1,16,30,101
1577898000,0.12,2020-01-01T17:00:00Z,2020-01-01,2020,1,1,17,0,101
1577899800,0.09,2020-01-01T17:30:00Z,2020-01-01,2020,1,1,17,30,101
1577901600,0.13,2020-01-01T18:00:00Z,2020-01-01,2020,1,1,18,0,101
1577903400,0.08,2020-01-01T18:30:00Z,2020-01-01,2020,1,1,18,30,101
1577905200,0.09,2020-01-01T19:00:00Z,2020-01-01,2020,1,1,19,0,101
1577907000,0.12,2020-01-01T19:30:00Z,2020-01-01,2020,1,1,19,30,101
1577908800,0.1,2020-01-01T20:00:00Z,2020-01-01,2020,1,1,20,0,101
1577910600,0.12,2020-01-01T20:30:00Z,2020-01-01,2020,1,1,20,30,101
1577912400,0.09,2020-01-01T21:00:00Z,2020-01-01,2020,1,1,21,0,101
1577914200,0.1,2020-01-01T21:30:00Z,2020-01-01,2020,1,1,21,30,101
1577916000,0.13,2020-01-01T22:00:00Z,2020-01-01,2020,1,1,22,0,101
1577917800,0.16,2020-01-01T22:30:00Z,2020-01-01,2020,1,1,22,30,101
1577919600,0.12,2020-01-01T23:00:00Z,2020-01-01,2020,1,1,23,0,101
1577921400,0.12,2020-01-01T23:30:00Z,2020-01-01,2020,1,1,23,30,101
1577923200,0.19,2020-01-02T00:00:00Z,2020-01-02,2020,1,2,0,0,102
1577925000,0.15,2020-01-02T00:30:00Z,2020-01-02,2020,1,2,0,30,102
1577926800,0.21,2020-01-02T01:00:00Z,2020-01-02,2020,1,2,1,0,102
1577928600,0.15,2020-01-02T01:30:00Z,2020-01-02,2020,1,2,1,30,102
1577930400,0.2,2020-01-02T02:00:00Z,2020-01-02,2020,1,2,2,0,102
1577932200,0.15,2020-01-02T02:30:00Z,2020-01-02,2020,1,2,2,30,102
1577934000,0.17,2020-01-02T03:00:00Z,2020-01-02,2020,1,2,3,0,102
