time,energy,datetime,date,year,month,day,hour,minute,runningdate
1609459200,0.23,2021-01-01T00:00:00Z,2021-01-01,2021,1,1,0,0,101
1609461000,0.24,2021-01-01T00:30:00Z,2021-01-01,2021,1,1,0,30,101
1609462800,0.24,2021-01-01T01:00:00Z,2021-01-01,2021,1,1,1,0,101
1609464600,0.24,2021-01-01T01:30:00Z,2021-01-01,2021,1,1,1,30,101
1609466400,0.18,2021-01-01T02:00:00Z,2021-01-01,2021,1,1,2,0,101
1609468200,0.15,2021-01-01T02:30:00Z,2021-01-01,2021,1,1,2,30,101
1609470000,0.13,2021-01-01T03:00:00Z,2021-01-01,2021,1,1,3,0,101
1609471800,0.14,2021-01-01T03:30:00Z,2021-01-01,2021,1,1,3,30,101
1609473600,0.15,2021-01-01T04:00:00Z,2021-01-01,2021,1,1,4,0,101
1609475400,0.14,2021-01-01T04:30:00Z,2021-01-01,2021,1,1,4,30,101
1609477200,0.13,2021-01-01T05:00:00Z,2021-01-01,2021,1,1,5,0,101
1609479000,0.12,2021-01-01T05:30:00Z,2021-01-01,2021,1,1,5,30,101
1609480800,0.12,2021-01-01T06:00:00Z,2021-01-01,2021,1,1,6,0,101
1609482600,0.11,2021-01-01T06:30:00Z,2021-01-01,2021,1,1,6,30,101
1609484400,0.31,2021-01-01T07:00:00Z,2021-01-01,2021,1,1,7,0,101
1609486200,0.2,2021-01-01T07:30:00Z,2021-01-01,2021,1,1,7,30,101
1609488000,0.2,2021-01-01T08:00:00Z,2021-01-01,2021,1,1,8,0,101
1609489800,0.18,2021-01-01T08:30:00Z,2021-01-01,2021,1,1,8,30,101
1609491600,0.13,2021-01-01T09:00:00Z,2021-01-01,2021,1,1,9,0,101
1609493400,0.32,2021-01-01T09:30:00Z,2021-01-01,2021,1,1,9,30,101
1609495200,0.24,2021-01-01T10:00:00Z,2021-01-01,2021,1,1,10,0,101
1609497000,0.22,2021-01-01T10:30:00Z,2021-01-01,2021,1,1,10,30,101
1609498800,0.2,2021-01-01T11:00:00Z,2021-01-01,2021,1,1,11,0,101
1609500600,0.41,2021-01-01T11:30:00Z,2021-01-01,2021,1,1,11,30,101
1609502400,0.26,2021-01-01T12:00:00Z,2021-01-01,2021,1,1,12,0,101
1609504200,0.22,2021-01-01T12:30:00Z,2021-01-01,2021,1,1,12,30,101
1609506000,0.35,2021-01-01T13:00:00Z,2021-01-01,2021,1,1,13,0,101
1609507800,0.23,2021-01-01T13:30:00Z,2021-01-01,2021,1,1,13,30,101
1609509600,0.26,2021-01-01T14:00:00Z,2021-01-01,2021,1,1,14,0,101
1609511400,0.25,2021-01-01T14:30:00Z,2021-01-01,2021,1,1,14,30,101
1609513200,0.13,2021-01-01T15:00:00Z,2021-01-01,2021,1,1,15,0,101
1609515000,0.22,2021-01-01T15:30:00Z,2021-01-01,2021,1,1,15,30,101
